Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;;
3534609;Interior;Osvaldo Cruz;10048;142;;;
3534708;Interior;Ourinhos;26947;593;;;
3534757;Interior;Ouroeste;3058;52;;;
3534807;Interior;Ouro Verde;1147;40;;;
3534906;Interior;Pacaembu;3803;57;;;
3535002;Interior;Palestina;2709;50;;;
3535101;Interior;Palmares Paulista;2269;47;;;
3535200;Interior;Palmeira d'Oeste;2614;35;;;
3535309;Interior;Palmital;4922;81;;;
3535408;Interior;Panorama;2452;84;;;
3535507;Interior;Paraguaçu Paulista;10165;176;;;
3535606;Interior;Paraibuna;1352;60;;;
3535705;Interior;Paraíso;1349;31;;;
3535804;Interior;Paranapanema;2166;90;;;
3535903;Interior;Paranapuã;1269;29;;;
3536000;Interior;Parapuã;1607;52;;;
3536109;Interior;Pardinho;1209;19;;;
3536208;Interior;Pariquera-Açu;4434;77;;;
3536257;Interior;Parisi;1031;20;;;
3536307;Interior;Patrocínio Paulista;1144;44;;;
3536406;Interior;Paulicéia;1882;28;;;
3536505;Interior;Paulínia;25235;351;;;
3536570;Interior;Paulistânia;212;7;;;
3536604;Interior;Paulo de Faria;1518;45;;;
3536703;Interior;Pederneiras;10236;144;;;
3536802;Interior;Pedra Bela;287;11;;;
3536901;Interior;Pedranópolis;281;11;;;
3537008;Interior;Pedregulho;392;27;;;
3537107;Interior;Pedreira;6192;146;;;
3537156;Interior;Pedrinhas Paulista;779;15;;;
3537206;Interior;Pedro de Toledo;1088;24;;;
3537305;Interior;Penápolis;20295;322;;;
3537404;Interior;Pereira Barreto;5589;119;;;
3537503;Interior;Pereiras;1215;23;;;
3537602;Interior;Peruíbe;12252;308;;;
3537701;Interior;Piacatu;1828;11;;;
3537800;Interior;Piedade;9405;193;;;
3537909;Interior;Pilar do Sul;6733;93;;;
3538006;Interior;Pindamonhangaba;35585;596;;;
3538105;Interior;Pindorama;3957;70;;;
3538204;Interior;Pinhalzinho;2722;32;;;
3538303;Interior;Piquerobi;257;9;;;
3538501;Interior;Piquete;418;35;;;
3538600;Interior;Piracaia;6098;100;;;
3538709;Interior;Piracicaba;104226;1669;;;
3538808;Interior;Piraju;7088;117;;;
3538907;Interior;Pirajuí;5064;76;;;
3539004;Interior;Pirangi;3222;73;;;
3539103;RMSP (exceto capital);Pirapora do Bom Jesus;1678;26;;;
3539202;Interior;Pirapozinho;4349;92;;;
3539301;Interior;Pirassununga;20268;313;;;
3539400;Interior;Piratininga;2283;51;;;
3539509;Interior;Pitangueiras;8386;193;;;
3539608;Interior;Planalto;671;14;;;
3539707;Interior;Platina;749;12;;;
3539806;RMSP (exceto capital);Poá;11978;444;;;
3539905;Interior;Poloni;1887;23;;;
3540002;Interior;Pompéia;1049;59;;;
3540101;Interior;Pongaí;398;12;;;
3540200;Interior;Pontal;8688;187;;;
3540259;Interior;Pontalinda;602;20;;;
3540309;Interior;Pontes Gestal;937;11;;;
3540408;Interior;Populina;1543;14;;;
3540507;Interior;Porangaba;1240;26;;;
